,movieId,tag,dark,funny,ferell
98,6541,Peta,4,5,5
98,6541,Wilson,6,6,6
99,6541,Sean,4,4,5
99,6541,Connery,6,4,6
100,6541,superhero,8,8,6
101,6564,adventure,7,8,8
102,6564,Angelina,8,7,6
102,6564,Jolie,5,5,6
103,6564,heroine,6,6,5
103,6564,in,4,4,6
103,6564,tight,5,5,6
103,6564,suit,4,4,6
104,7153,Adventure,7,8,8
105,7153,ensemble,8,8,6
105,7153,cast,3,5,6
106,7153,fantasy,6,4,6
107,7153,fantasy,6,4,6
107,7153,world,4,5,4
108,7153,great,5,5,4
108,7153,soundtrack,7,8,9
109,7153,lord,3,5,5
109,7153,of,4,5,6
109,7153,the,4,5,5
109,7153,rings,5,4,6
110,7153,scenic,6,5,6
111,7153,stylized,8,8,8
112,7153,Tolkien,6,7,7
113,8641,hilarious,7,9,8
114,8641,Steve,5,5,5
114,8641,Carell,4,6,2
115,8641,Will,4,5,4
115,8641,Ferrell,6,7,2
116,27660,animation,8,9,9
117,27660,anime,5,5,6
118,27660,cyberpunk,7,8,7
119,27660,dark,0,5,5
120,27660,Matrix,4,6,6
121,27660,sci-fi,6,6,6
122,27706,dark,0,5,5
122,27706,comedy,6,5,5
123,27706,Jim,4,5,6
123,27706,Carrey,4,5,5
124,27706,meryl,4,5,3
124,27706,streep,5,6,4
125,27706,quirky,4,4,6
126,27706,stylized,8,8,8
127,27808,Adam,3,5,6
127,27808,Sandler,6,6,6
128,27808,family,5,4,4
129,27808,sweet,5,5,5
130,27831,British,7,7,7
130,27831,gangster,7,7,8
131,27831,confusing,9,6,8
132,27831,daniel,4,5,5
132,27831,craig,4,5,5
133,27831,Exquisite,9,8,9
133,27831,plotting.,9,8,9
134,27831,organized,8,8,9
134,27831,crime,5,5,5
135,27831,stylish,7,7,7
136,27831,Tom,4,5,6
136,27831,Hardy,3,4,5
137,31658,anime,5,5,6
138,31658,fantasy,6,4,6
138,31658,world,4,5,4
139,31658,Hayao,4,5,6
139,31658,Miyazaki,6,8,8
140,31658,Studio,6,5,6
140,31658,Ghibli,6,6,5
141,33162,David,4,5,6
141,33162,Thewlis,7,7,6
142,33162,Eva,4,5,6
142,33162,Green,5,5,4
143,33162,Liam,4,5,6
143,33162,Neeson,6,6,5
144,33162,Orlando,6,6,7
144,33162,Bloom,5,5,6
145,34150,Chris,4,5,5
145,34150,Evans,4,4,6
146,34150,comic,5,5,6
146,34150,book,3,5,6
147,34150,heroine,6,6,5
147,34150,in,4,4,6
147,34150,tight,5,5,6
147,34150,suit,4,4,6
148,34150,Jessica,7,7,6
148,34150,Alba,4,5,6
149,34150,sexy,4,4,5
149,34150,female,5,5,3
149,34150,scientist,9,8,8
150,34150,superhero,8,8,6
151,37729,gothic,6,6,6
152,37729,helena,6,5,4
152,37729,bonham,6,5,6
152,37729,carter,4,6,5
153,37729,Johnny,6,3,6
153,37729,Depp,4,5,5
154,37729,Tim,4,5,6
154,37729,Burton,5,5,5
155,37729,visually,7,6,6
155,37729,appealing,8,8,7
156,38061,black,3,5,6
156,38061,comedy,6,5,5
157,38061,clever,6,6,5
158,38061,fast-paced,9,9,9
158,38061,dialogue,6,8,8
159,38061,good,4,5,6
159,38061,dialogue,6,8,8
160,38061,Robert,5,6,5
160,38061,Downey,6,4,6
160,38061,Jr.,3,5,5
161,38061,witty,5,4,6
162,45447,adventure,7,8,8
163,45447,Audrey,5,4,5
163,45447,Tautou,5,5,6
164,45447,conspiracy,9,8,9
164,45447,theory,5,5,6
165,45447,Mystery,6,6,6
166,45447,Paris,3,5,5
167,45447,Tom,4,5,6
167,45447,Hanks,3,4,6
168,45447,treasure,6,8,7
168,45447,hunt,4,3,6
169,46723,Brad,4,5,5
169,46723,Pitt,4,5,6
170,46723,cate,3,5,5
170,46723,blanchett,8,8,8
171,46723,multiple,8,7,7
171,46723,storylines,9,9,8
172,46723,social,6,6,5
172,46723,commentary,8,8,9
173,46972,Ben,4,4,5
173,46972,Stiller,7,7,6
174,46972,Robin,5,5,6
174,46972,Williams,7,8,8
175,46976,emma,4,5,5
175,46976,thompson,8,8,8
176,46976,Maggie,5,6,6
176,46976,Gyllenhaal,9,9,8
177,46976,modern,4,6,5
177,46976,fantasy,6,4,6
178,46976,romance,6,6,7
179,46976,surreal,6,6,4
180,46976,Will,4,5,4
180,46976,Ferrell,6,7,2
181,49130,Marion,4,6,5
181,49130,Cotillard,7,9,7
182,49530,Africa,5,5,5
183,49530,corruption,9,9,9
184,49530,Jennifer,8,6,7
184,49530,Connelly,8,5,5
185,49530,justice,7,6,7
186,49530,Leonardo,6,7,7
186,49530,DiCaprio,6,8,8
187,53464,bad,3,5,6
187,53464,acting,6,5,6
188,53464,bad,3,5,6
188,53464,jokes,5,5,5
189,53464,bad,3,5,6
189,53464,plot,4,5,6
190,53464,Chris,4,5,5
190,53464,Evans,4,4,6
191,53464,Jessica,7,7,6
191,53464,Alba,4,5,6
192,53464,Marvel,4,6,4
193,53464,sexy,4,4,5
193,53464,female,5,5,3
193,53464,scientist,9,8,8
194,58047,Rachel,5,6,5
194,58047,Weisz,5,5,5
195,58047,Ryan,4,4,6
195,58047,Reynolds,8,7,6
196,59501,fantasy,6,4,6
197,59501,lion,4,4,6
198,59501,narnia,4,5,5
199,59501,Tilda,5,5,6
199,59501,Swinton,7,6,7
200,60074,bad,3,5,6
200,60074,script,5,6,5
201,60074,Charlize,6,8,7
201,60074,Theron,5,6,5
202,60074,Will,4,5,4
202,60074,Smith,5,5,6
203,60126,Anne,4,3,5
203,60126,Hathaway,7,7,8
204,60126,Steve,5,5,5
204,60126,Carell,4,6,2
205,60756,comedy,6,5,5
208,61024,comedy,6,5,5
209,61024,James,4,5,5
209,61024,Franco,5,5,6
210,61024,Seth,4,5,5
210,61024,Rogen,5,5,5
211,61024,Stoner,6,5,6
211,61024,Movie,5,5,6
212,63992,audience,7,6,7
212,63992,intelligence,12,11,9
212,63992,underestimated,12,13,11
213,63992,boring,5,5,5
214,63992,chick,4,5,6
214,63992,flick,4,4,5
215,63992,overrated,8,9,7
216,63992,Teen,4,4,4
216,63992,movie,5,5,6
217,68848,Adrien,5,6,5
217,68848,Brody,5,4,5
218,68848,con,4,4,6
218,68848,artists,6,7,7
219,68848,funny,5,0,5
220,68848,interesting,10,10,8
220,68848,characters,8,10,8
221,68848,Mark,1,5,5
221,68848,Ruffalo,6,6,6
222,68848,Rachel,5,6,5
222,68848,Weisz,5,5,5
223,71535,Bill,4,5,4
223,71535,Murray,5,4,5
224,71535,dark,0,5,5
224,71535,comedy,6,5,5
225,71535,Emma,4,5,6
225,71535,Stone,5,4,6
226,71535,funny,5,0,5
227,71535,Jesse,5,5,5
227,71535,Eisenberg,8,8,7
228,71535,Woody,5,4,6
228,71535,Harrelson,7,9,6
229,87430,audience,7,6,7
229,87430,intelligence,12,11,9
229,87430,underestimated,12,13,11
230,87430,CGI,4,5,6
231,87430,cheesy,6,5,5
232,87430,comic,5,5,6
232,87430,book,3,5,6
233,87430,DC,4,5,6
234,87430,DC,4,5,6
234,87430,Comics,6,6,6
235,87430,Ryan,4,4,6
235,87430,Reynolds,8,7,6
236,87430,space,4,5,6
237,87430,superhero,8,8,6
238,88405,comedy,6,5,5
239,88405,funny,5,0,5
240,88405,happy,4,4,6
240,88405,ending,5,5,6
241,88405,HOT,4,5,6
241,88405,actress,6,7,5
242,88405,Justin,6,5,6
242,88405,Timberlake,8,10,8
243,88405,Mila,4,5,5
243,88405,Kunis,5,3,6
244,88405,New,4,5,5
244,88405,York,2,5,5
244,88405,City,4,4,6
245,88405,romance,6,6,7
246,88405,sex,4,5,5
247,96861,Istanbul,7,7,7
248,96861,Liam,4,5,6
248,96861,Neeson,6,6,5
249,96861,predictable,9,11,9
250,96861,Turkey,4,4,5
251,96861,unnecessary,9,8,9
251,96861,sequel,6,6,4
252,99114,action,6,6,6
253,99114,Christoph,8,9,8
253,99114,Waltz,4,5,6
254,99114,funny,5,0,5
255,99114,good,4,5,6
255,99114,soundtrack,7,8,9
256,99114,Great,5,5,4
256,99114,performances,11,10,10
257,99114,Humour,6,5,6
258,99114,Leonardo,6,7,7
258,99114,DiCaprio,6,8,8
259,99114,Quentin,7,5,6
259,99114,Tarantino,7,7,8
260,99114,Samuel,5,6,5
260,99114,L.,4,5,6
260,99114,Jackson,5,7,7
261,99114,Soundtrack,7,8,9
262,99114,western,6,7,5
263,103042,Amy,4,4,6
263,103042,Adams,3,5,6
264,103042,superhero,8,8,6
265,104863,daniel,4,5,5
265,104863,radcliffe,8,9,8
266,104863,zoe,4,5,5
266,104863,kazan,4,5,6
267,107348,comedy,6,5,5
268,107348,Steve,5,5,5
268,107348,Carell,4,6,2
269,107348,stupid,6,5,6
269,107348,but,4,4,6
269,107348,funny,5,0,5
270,107348,will,4,5,4
270,107348,ferrell,6,6,1
271,108190,anti-intellectual,17,16,14
272,108190,bad,3,5,6
272,108190,writing,7,6,7
273,108190,dystopia,7,8,8
274,108190,new,4,4,5
274,108190,society,7,6,6
275,108190,plot,4,5,6
275,108190,holes,5,5,5
276,108190,predictable,9,11,9
277,108190,scifi,5,5,6
278,108190,unintelligent,13,11,10
279,111743,Charlize,6,8,7
279,111743,Theron,5,6,5
280,111743,Liam,4,5,6
280,111743,Neeson,6,6,5
281,111743,Seth,4,5,5
281,111743,MacFarlane,8,9,9
282,111743,witty,5,4,6
283,114180,action,6,6,6
284,114180,dystopia,7,8,8
285,114180,plot,4,5,6
285,114180,holes,5,5,5
286,114180,post-apocalyptic,15,15,15
287,114180,survival,7,7,6
288,114180,thriller,7,8,5
289,114180,unexplained,10,9,9
290,114180,weak,3,5,5
290,114180,plot,4,5,6
291,115149,dark,0,5,5
291,115149,hero,3,5,4
292,115149,gun-fu,6,4,6
293,115149,Keanu,4,4,5
293,115149,Reeves,6,6,5
294,115149,Revenge,7,6,5
295,115149,secret,5,6,4
295,115149,society,7,6,6
296,115149,stylish,7,7,7
297,116897,black,3,5,6
297,116897,comedy,6,5,5
298,116897,dark,0,5,5
298,116897,comedy,6,5,5
299,116897,dark,0,5,5
299,116897,humor,5,4,6
300,116897,ironic,6,5,6
301,116897,multiple,8,7,7
301,116897,short,4,5,6
301,116897,stories,6,7,6
302,116897,short,4,5,6
302,116897,stories,6,7,6
303,119141,bromance,7,7,8
304,119141,comedy,6,5,5
305,119141,funny,5,0,5
306,119141,James,4,5,5
306,119141,Franco,5,5,6
307,119141,Seth,4,5,5
307,119141,Rogen,5,5,5
308,122912,comic,5,5,6
308,122912,book,3,5,6
309,122912,Dr.,3,5,5
309,122912,Strange,6,6,6
310,122912,Great,5,5,4
310,122912,villain,6,7,7
311,122912,Guardians,7,7,8
311,122912,of,4,5,6
311,122912,the,4,5,5
311,122912,Galaxy,5,5,6
312,122912,Marvel,4,6,4
313,122912,MCU,4,5,6
314,122912,Robert,5,6,5
314,122912,Downey,6,4,6
314,122912,Jr.,3,5,5
315,122912,Thanos,5,5,6
316,122912,Thor,4,5,6
317,122912,Visually,7,6,6
317,122912,stunning,8,5,8
318,128360,characters,8,10,8
319,128360,Dialogue,7,8,8
320,128360,humor,5,4,6
321,128360,Kurt,3,4,5
321,128360,Russell,7,6,4
322,128360,Quentin,7,5,6
322,128360,Tarantino,7,7,8
323,128360,Samuel,5,6,5
323,128360,L.,4,5,6
323,128360,Jackson,5,7,7
324,128360,tension,7,6,6
324,128360,building,7,6,8
325,128360,violent,7,6,6
326,128360,Western,6,7,5
327,135133,dystopia,7,8,8
328,135133,Jennifer,8,6,7
328,135133,Lawrence,6,7,6
329,135133,love,4,5,5
329,135133,story,4,4,6
330,135133,nonsense,8,6,7
331,135133,politics,8,8,8
332,135133,rebellion,9,9,5
333,135133,revolution,10,9,8
334,135518,Ben,4,4,5
334,135518,Kingsley,8,6,7
335,135518,ethics,6,6,6
336,135518,immortality,10,10,9
337,135518,ryan,4,4,5
337,135518,reynolds,8,7,6
338,135536,Bad,3,5,6
338,135536,story,4,4,6
339,135536,Bad,3,5,6
339,135536,writing,7,6,7
340,135536,Batman,5,6,6
341,135536,Ben,4,4,5
341,135536,Affleck,6,6,5
342,135536,comic,5,5,6
342,135536,book,3,5,6
343,135536,dc,3,5,6
343,135536,comics,6,6,6
344,135536,good,4,5,6
344,135536,soundtrack,7,8,9
345,135536,Harley,4,5,5
345,135536,Quinn,5,3,6
346,135536,Harley,4,5,5
346,135536,Quinn's,7,4,7
346,135536,ass,3,5,6
347,135536,Horrible,7,8,6
347,135536,directing,7,8,7
348,135536,Jared,3,5,4
348,135536,Leto,4,5,5
349,135536,Joker,5,5,5
350,135536,lack,2,5,6
350,135536,of,4,5,6
350,135536,plot,4,5,6
351,135536,Margot,4,6,5
351,135536,Robbie,6,6,6
352,135536,Poor,4,5,6
352,135536,story,4,4,6
353,135536,poorly,5,5,5
353,135536,paced,4,5,5
354,135536,superhero,8,8,6
355,135536,visually,7,6,6
355,135536,appealing,8,8,7
356,135536,Will,4,5,4
356,135536,Smith,5,5,6
357,136864,action,6,6,6
358,136864,batman,5,6,6
359,136864,ben,4,4,5
359,136864,affleck,6,6,5
360,136864,dark,0,5,5
361,136864,dc,3,5,6
361,136864,comics,6,6,6
362,136864,Gal,3,5,5
362,136864,Gadot,4,5,6
363,136864,superhero,8,8,6
364,136864,superman,7,7,6
365,136864,wonderwoman,9,10,9
366,139385,leonardo,6,7,7
366,139385,DiCarpio,6,8,7
367,139385,survival,7,7,6
368,139385,tom,4,5,6
368,139385,hardy,3,4,5
369,139385,visually,7,6,6
369,139385,appealing,8,8,7
370,158966,building,7,6,8
370,158966,a,3,5,6
370,158966,family,5,4,4
371,158966,creative,7,8,7
372,158966,freedom,7,6,5
373,158966,good,4,5,6
373,158966,writing,7,6,7
374,158966,individualism,11,12,12
375,158966,Viggo,5,5,6
375,158966,Mortensen,8,8,7
376,168248,action,6,6,6
377,168248,dark,0,5,5
377,168248,hero,3,5,4
378,168248,gun,4,3,6
378,168248,tactics,6,7,7
379,168248,hitman,6,6,6
380,168248,Keanu,4,4,5
380,168248,Reeves,6,6,5
381,168248,organized,8,8,9
381,168248,crime,5,5,5
382,168248,secret,5,6,4
382,168248,society,7,6,6
383,174053,Dystopia,8,8,8
384,174053,future,5,4,5
385,174053,interesting,10,10,8
386,174053,jon,4,4,6
386,174053,hamm,3,5,6
387,174053,thought,7,6,7
387,174053,provoking,8,8,9
388,179401,Action,6,6,6
389,179401,Comedy,6,5,5
390,179401,Dwayne,5,5,6
390,179401,Johnson,7,6,7
391,179401,funny,5,0,5
392,183611,Comedy,6,5,5
393,183611,funny,5,0,5
394,183611,Rachel,5,6,5
394,183611,McAdams,5,7,7
395,184471,adventure,7,8,8
396,184471,Alicia,6,6,6
396,184471,Vikander,7,7,8
397,184471,video,5,5,5
397,184471,game,3,5,5
397,184471,adaptation,8,10,10
398,187593,Josh,4,5,6
398,187593,Brolin,6,6,5
399,187593,Ryan,4,4,6
399,187593,Reynolds,8,7,6
400,187593,sarcasm,5,7,6
401,187595,Emilia,6,6,6
401,187595,Clarke,3,6,6
402,187595,star,3,5,6
402,187595,wars,2,5,5
403,260,classic,6,7,7
404,260,space,4,5,6
404,260,action,6,6,6
405,260,action,6,6,6
406,260,sci-fi,6,6,6
407,260,EPIC,4,5,6
408,260,great,5,5,4
408,260,soundtrack,7,8,9
409,296,good,4,5,6
409,296,dialogue,6,8,8
410,296,great,5,5,4
410,296,soundtrack,7,8,9
411,296,non-linear,9,8,9
412,4896,Everything,9,9,8
412,4896,you,4,5,6
412,4896,want,3,4,6
412,4896,is,4,5,6
412,4896,here,3,5,3
413,106489,adventure,7,8,8
414,260,classic,6,7,7
414,260,sci-fi,6,6,6
415,260,engrossing,9,9,9
415,260,adventure,7,8,8
418,260,Nerd,3,5,4
419,101142,animation,8,9,9
420,101142,funny,5,0,5
421,101142,stone,5,4,6
421,101142,age,3,5,5
422,115149,action,6,6,6
423,115149,killer,6,6,6
424,115149,widows/widowers,13,15,14
425,115617,animation,8,9,9
426,115617,kids,4,5,6
427,115617,robots,6,6,6
428,120635,action,6,6,6
429,120635,murder,5,5,5
430,120635,police,6,6,6
431,1726,Kevin,5,5,5
431,1726,Costner,7,6,7
432,1726,Post,4,5,6
432,1726,apocalyptic,10,10,10
433,2387,dark,0,5,5
433,2387,comedy,6,5,5
434,2387,dark,0,5,5
434,2387,humor,5,4,6
435,3052,irreverent,9,9,7
436,3052,jay,3,4,6
436,3052,and,3,4,6
436,3052,silent,6,5,5
436,3052,bob,4,5,6
437,3052,Kevin,5,5,5
437,3052,Smith,5,5,6
438,3052,satire,4,6,6
439,5088,irreverent,9,9,7
440,7022,based,4,5,5
440,7022,on,4,4,6
440,7022,a,3,5,6
440,7022,book,3,5,6
441,7022,bloody,6,5,6
442,7022,brutal,6,5,5
443,7022,controversial,12,12,10
444,7022,dystopia,7,8,8
445,7022,goretastic,9,10,8
446,7022,satire,4,6,6
447,7022,social,6,6,5
447,7022,commentary,8,8,9
448,7022,survival,7,7,6
449,7022,violence,8,7,7
450,7254,alternate,8,8,7
450,7254,reality,6,6,6
451,7254,sci-fi,6,6,6
452,7254,science,7,6,6
452,7254,fiction,7,6,6
453,7254,time,4,5,5
453,7254,travel,5,6,5
454,8957,brutal,6,5,5
455,8957,clever,6,6,5
456,8957,Disturbing,9,8,9
457,8957,great,5,5,4
457,8957,ending,5,5,6
458,8957,mindfuck,6,7,8
459,8957,surprise,7,7,7
459,8957,ending,5,5,6
460,8957,suspense,8,6,7
461,9010,cruel,5,5,4
461,9010,characters,8,10,8
462,42632,brutality,8,7,8
463,58301,dark,0,5,5
463,58301,humor,5,4,6
464,60950,threesome,8,9,7
465,62434,Seth,4,5,5
465,62434,Rogen,5,5,5
466,62434,Sexual,6,6,4
466,62434,Humor,5,4,6
467,67695,Seth,4,5,5
467,67695,Rogen,5,5,5
468,100083,embarassing,9,10,10
468,100083,scenes,6,5,5
469,100083,offensive,9,7,7
470,100083,R,4,5,6
470,100083,language,7,7,8
471,100083,sarcasm,5,7,6
472,100083,satire,4,6,6
473,156371,80's,4,5,6
474,158872,Crude,5,5,5
474,158872,humor,5,4,6
475,158872,mindfuck,6,7,8
476,158872,sarcasm,5,7,6
477,158872,satire,4,6,6
478,158872,Vulgar,5,5,6
479,3556,sofia,5,5,6
479,3556,coppola,7,7,6
480,6323,John,4,4,6
480,6323,Cusack,4,5,6
481,6367,Ewan,4,4,6
481,6367,McGregor,7,8,6
482,6367,Renee,5,4,4
482,6367,Zellweger,9,9,7
483,59103,jackie,4,6,6
483,59103,chan,4,4,6
484,59103,kung,4,3,6
484,59103,fu,4,3,5
485,52287,Something,9,8,8
485,52287,for,3,4,4
485,52287,everyone,7,7,6
485,52287,in,4,4,6
485,52287,this,4,5,6
485,52287,one...,6,6,6
485,52287,saw,3,5,6
485,52287,it,4,5,6
485,52287,without,7,7,7
485,52287,and,3,4,6
485,52287,plan,4,4,6
485,52287,on,4,4,6
485,52287,seeing,6,5,5
485,52287,it,4,5,6
485,52287,with,4,5,6
485,52287,kids!,5,5,6
486,293,assassin,7,8,8
487,293,Jean,4,4,5
487,293,Reno,4,4,5
488,54286,assassin,7,8,8
489,54286,assassin-in-training,18,18,19
489,54286,(scene),7,6,6
490,54286,espionage,8,8,9
491,54286,Robert,5,6,5
491,54286,Ludlum,5,5,6
492,104,test,4,5,5
492,104,tag,3,5,6
493,115617,feel-good,9,8,6
494,115617,fun,4,2,5
494,115617,family,5,4,4
494,115617,movie,5,5,6
495,115617,very,3,4,4
495,115617,funny,5,0,5
496,2579,black,3,5,6
496,2579,and,3,4,6
496,2579,white,5,5,6
497,2579,Christopher,10,11,10
497,2579,Nolan,5,5,6
498,2579,directorial,9,11,8
498,2579,debut,4,5,5
499,2579,mindfuck,6,7,8
500,2579,not,4,4,6
500,2579,linear,5,5,5
501,2579,Twist,5,5,6
501,2579,Ending,5,5,6
502,3793,action,6,6,6
503,3793,comic,5,5,6
503,3793,book,3,5,6
504,3793,hugh,4,4,6
504,3793,jackman,5,7,7
505,3793,marvel,4,6,4
506,3793,superhero,8,8,6
507,4226,dark,0,5,5
508,4226,Mindfuck,6,7,8
509,4226,nonlinear,8,7,8
510,4226,psychology,10,9,9
511,4226,twist,5,5,6
511,4226,ending,5,5,6
512,4896,alan,4,4,6
512,4896,rickman,6,7,7
513,4896,harry,3,4,5
513,4896,potter,6,6,6
514,4896,humorous,7,7,7
515,4896,Magic,4,5,6
517,5388,insomnia,8,7,8
518,5388,thought-provoking,15,15,16
519,6283,amazing,6,6,7
519,6283,artwork,5,7,7
520,6283,anime,5,5,6
521,6283,sci-fi,6,6,6
522,27156,anime,5,5,6
523,27156,end,4,4,5
523,27156,of,4,5,6
523,27156,the,4,5,5
523,27156,world,4,5,4
524,27156,epic,4,5,5
525,27156,mecha,5,5,5
526,27156,psychology,10,9,9
527,193565,anime,5,5,6
528,193565,comedy,6,5,5
529,193565,gintama,6,6,7
530,193565,remaster,7,8,7
533,260,space,4,5,6
533,260,epic,4,5,5
534,4878,atmospheric,10,11,10
535,4878,cult,4,4,5
535,4878,film,4,4,4
536,4878,dreamlike,6,9,7
537,4878,hallucinatory,11,10,13
538,4878,psychological,13,13,11
539,4878,surreal,6,6,4
540,4878,time,4,5,5
540,4878,travel,5,6,5
541,7147,dreamlike,6,9,7
542,7147,sentimental,11,9,8
543,7147,surreal,6,6,4
544,7147,Tim,4,5,6
544,7147,Burton,5,5,5
545,7361,alternate,8,8,7
545,7361,reality,6,6,6
546,7361,memory,5,5,5
547,7361,thought-provoking,15,15,16
548,97938,cinematography,12,12,12
549,97938,India,5,5,6
550,97938,surreal,6,6,4
551,260,oldie,5,5,6
551,260,but,4,4,6
551,260,goodie,6,6,6
553,260,Star,3,5,6
553,260,Wars,2,5,5
554,6938,big,4,5,6
554,6938,wave,3,5,5
555,6938,surfing,6,5,6
556,48780,ummarti2006,9,11,10
557,126548,funny,5,0,5
558,126548,high,4,5,6
558,126548,school,6,6,5
559,68319,comic,5,5,6
559,68319,book,3,5,6
560,7020,Notable,6,7,6
560,7020,Nudity,5,4,6
561,3,moldy,5,4,6
562,3,old,4,5,5
563,527,moving,6,5,6
564,1101,predictable,9,11,9
565,50872,a,3,5,6
565,50872,clever,6,6,5
565,50872,chef,4,5,5
565,50872,rat,3,5,5
566,50872,inspirational,12,12,11
567,102007,animation,8,9,9
568,118696,hope,4,5,5
569,6711,atmospheric,10,11,10
570,4034,drugs,4,5,5
571,4995,mathematics,10,11,10
572,6502,zombies,7,7,7
573,6953,DEPRESSING,10,10,10
574,8641,stupid,6,5,6
575,34405,predictable,9,11,9
576,55721,Favelas,6,7,5
577,83134,black,3,5,6
577,83134,comedy,6,5,5
578,778,based,4,5,5
578,778,on,4,4,6
578,778,a,3,5,6
578,778,book,3,5,6
579,778,dark,0,5,5
579,778,comedy,6,5,5
580,778,narrated,6,8,7
581,4612,reciprocal,9,10,7
581,4612,spectator,8,9,8
582,4708,reciprocal,9,10,7
582,4708,spectator,8,9,8
583,6400,documentary,8,8,10
584,30892,Animation,8,9,9
585,30892,Documentary,9,8,10
586,30892,Henry,4,3,5
586,30892,Darger,4,6,5
587,48698,the,4,5,5
587,48698,catholic,7,8,7
